CIDR	Start IP	End IP	Subnet Mask	Addresses	Hosts	Wildcard mask
168.63.255.192/27	168.63.255.192	168.63.255.223	255.255.255.224	32	30	0.0.0.31
168.63.255.224/28	168.63.255.224	168.63.255.239	255.255.255.240	16	14	0.0.0.15
168.63.255.240/29	168.63.255.240	168.63.255.247	255.255.255.248	8	6	0.0.0.7
168.63.255.248/30	168.63.255.248	168.63.255.251	255.255.255.252	4	2	0.0.0.3
168.63.255.252/31	168.63.255.252	168.63.255.253	255.255.255.254	2	2	0.0.0.1
168.63.255.254/32	168.63.255.254	168.63.255.254	255.255.255.255	1	1	0.0.0.0
168.63.255.255/32	168.63.255.255	168.63.255.255	255.255.255.255	1	1	0.0.0.0
52.132.0.0/14	52.132.0.0	52.135.255.255	255.252.0.0	262144	262142	0.3.255.255
52.136.0.0/14	52.136.0.0	52.139.255.255	255.252.0.0	262144	262142	0.3.255.255
52.140.0.0/15	52.140.0.0	52.141.255.255	255.254.0.0	131072	131070	0.1.255.255
52.142.0.0/16	52.142.0.0	52.142.255.255	255.255.0.0	65536	65534	0.0.255.255
52.143.0.0/17	52.143.0.0	52.143.127.255	255.255.128.0	32768	32766	0.0.127.255
52.143.128.0/18	52.143.128.0	52.143.191.255	255.255.192.0	16384	16382	0.0.63.255
52.143.192.0/19	52.143.192.0	52.143.223.255	255.255.224.0	8192	8190	0.0.31.255
52.143.224.0/20	52.143.224.0	52.143.239.255	255.255.240.0	4096	4094	0.0.15.255
52.143.240.0/21	52.143.240.0	52.143.247.255	255.255.248.0	2048	2046	0.0.7.255
52.143.248.0/22	52.143.248.0	52.143.251.255	255.255.252.0	1024	1022	0.0.3.255
52.143.252.0/23	52.143.252.0	52.143.253.255	255.255.254.0	512	510	0.0.1.255
52.143.254.0/24	52.143.254.0	52.143.254.255	255.255.255.0	256	254	0.0.0.255
52.143.255.0/25	52.143.255.0	52.143.255.127	255.255.255.128	128	126	0.0.0.127
52.143.255.128/26	52.143.255.128	52.143.255.191	255.255.255.192	64	62	0.0.0.63
52.143.255.192/27	52.143.255.192	52.143.255.223	255.255.255.224	32	30	0.0.0.31
52.143.255.224/28	52.143.255.224	52.143.255.239	255.255.255.240	16	14	0.0.0.15
52.143.255.240/29	52.143.255.240	52.143.255.247	255.255.255.248	8	6	0.0.0.7
52.143.255.248/30	52.143.255.248	52.143.255.251	255.255.255.252	4	2	0.0.0.3
52.143.255.252/31	52.143.255.252	52.143.255.253	255.255.255.254	2	2	0.0.0.1
52.143.255.254/32	52.143.255.254	52.143.255.254	255.255.255.255	1	1	0.0.0.0
52.143.255.255/32	52.143.255.255	52.143.255.255	255.255.255.255	1	1	0.0.0.0
208.68.136.0/22	208.68.136.0	208.68.139.255	255.255.252.0	1024	1022	0.0.3.255
208.68.140.0/23	208.68.140.0	208.68.141.255	255.255.254.0	512	510	0.0.1.255
208.68.142.0/24	208.68.142.0	208.68.142.255	255.255.255.0	256	254	0.0.0.255
208.68.143.0/25	208.68.143.0	208.68.143.127	255.255.255.128	128	126	0.0.0.127
208.68.143.128/26	208.68.143.128	208.68.143.191	255.255.255.192	64	62	0.0.0.63
208.68.143.192/27	208.68.143.192	208.68.143.223	255.255.255.224	32	30	0.0.0.31
208.68.143.224/28	208.68.143.224	208.68.143.239	255.255.255.240	16	14	0.0.0.15
208.68.143.240/29	208.68.143.240	208.68.143.247	255.255.255.248	8	6	0.0.0.7
208.68.143.248/30	208.68.143.248	208.68.143.251	255.255.255.252	4	2	0.0.0.3
208.68.143.252/31	208.68.143.252	208.68.143.253	255.255.255.254	2	2	0.0.0.1
208.68.143.254/32	208.68.143.254	208.68.143.254	255.255.255.255	1	1	0.0.0.0
208.68.143.255/32	208.68.143.255	208.68.143.255	255.255.255.255	1	1	0.0.0.0
68.154.0.0/16	68.154.0.0	68.154.255.255	255.255.0.0	65536	65534	0.0.255.255
68.155.0.0/17	68.155.0.0	68.155.127.255	255.255.128.0	32768	32766	0.0.127.255
68.155.128.0/18	68.155.128.0	68.155.191.255	255.255.192.0	16384	16382	0.0.63.255
68.155.192.0/19	68.155.192.0	68.155.223.255	255.255.224.0	8192	8190	0.0.31.255
68.155.224.0/20	68.155.224.0	68.155.239.255	255.255.240.0	4096	4094	0.0.15.255
68.155.240.0/21	68.155.240.0	68.155.247.255	255.255.248.0	2048	2046	0.0.7.255
68.155.248.0/22	68.155.248.0	68.155.251.255	255.255.252.0	1024	1022	0.0.3.255
68.155.252.0/23	68.155.252.0	68.155.253.255	255.255.254.0	512	510	0.0.1.255
68.155.254.0/24	68.155.254.0	68.155.254.255	255.255.255.0	256	254	0.0.0.255
68.155.255.0/25	68.155.255.0	68.155.255.127	255.255.255.128	128	126	0.0.0.127
68.155.255.128/26	68.155.255.128	68.155.255.191	255.255.255.192	64	62	0.0.0.63
68.155.255.192/27	68.155.255.192	68.155.255.223	255.255.255.224	32	30	0.0.0.31
68.155.255.224/28	68.155.255.224	68.155.255.239	255.255.255.240	16	14	0.0.0.15
68.155.255.240/29	68.155.255.240	68.155.255.247	255.255.255.248	8	6	0.0.0.7
68.155.255.248/30	68.155.255.248	68.155.255.251	255.255.255.252	4	2	0.0.0.3
68.155.255.252/31	68.155.255.252	68.155.255.253	255.255.255.254	2	2	0.0.0.1
68.155.255.254/32	68.155.255.254	68.155.255.254	255.255.255.255	1	1	0.0.0.0
68.155.255.255/32	68.155.255.255	68.155.255.255	255.255.255.255	1	1	0.0.0.0
192.92.90.0/25	192.92.90.0	192.92.90.127	255.255.255.128	128	126	0.0.0.127
192.92.90.128/26	192.92.90.128	192.92.90.191	255.255.255.192	64	62	0.0.0.63
192.92.90.192/27	192.92.90.192	192.92.90.223	255.255.255.224	32	30	0.0.0.31
192.92.90.224/28	192.92.90.224	192.92.90.239	255.255.255.240	16	14	0.0.0.15
192.92.90.240/29	192.92.90.240	192.92.90.247	255.255.255.248	8	6	0.0.0.7
192.92.90.248/30	192.92.90.248	192.92.90.251	255.255.255.252	4	2	0.0.0.3
192.92.90.252/31	192.92.90.252	192.92.90.253	255.255.255.254	2	2	0.0.0.1
192.92.90.254/32	192.92.90.254	192.92.90.254	255.255.255.255	1	1	0.0.0.0
192.92.90.255/32	192.92.90.255	192.92.90.255	255.255.255.255	1	1	0.0.0.0
204.95.96.0/21	204.95.96.0	204.95.103.255	255.255.248.0	2048	2046	0.0.7.255
204.95.104.0/22	204.95.104.0	204.95.107.255	255.255.252.0	1024	1022	0.0.3.255
204.95.108.0/23	204.95.108.0	204.95.109.255	255.255.254.0	512	510	0.0.1.255
204.95.110.0/24	204.95.110.0	204.95.110.255	255.255.255.0	256	254	0.0.0.255
204.95.111.0/25	204.95.111.0	204.95.111.127	255.255.255.128	128	126	0.0.0.127
204.95.111.128/26	204.95.111.128	204.95.111.191	255.255.255.192	64	62	0.0.0.63
204.95.111.192/27	204.95.111.192	204.95.111.223	255.255.255.224	32	30	0.0.0.31
204.95.111.224/28	204.95.111.224	204.95.111.239	255.255.255.240	16	14	0.0.0.15
204.95.111.240/29	204.95.111.240	204.95.111.247	255.255.255.248	8	6	0.0.0.7
204.95.111.248/30	204.95.111.248	204.95.111.251	255.255.255.252	4	2	0.0.0.3
204.95.111.252/31	204.95.111.252	204.95.111.253	255.255.255.254	2	2	0.0.0.1
204.95.111.254/32	204.95.111.254	204.95.111.254	255.255.255.255	1	1	0.0.0.0
204.95.111.255/32	204.95.111.255	204.95.111.255	255.255.255.255	1	1	0.0.0.0
206.16.223.0/25	206.16.223.0	206.16.223.127	255.255.255.128	128	126	0.0.0.127
206.16.223.128/26	206.16.223.128	206.16.223.191	255.255.255.192	64	62	0.0.0.63
206.16.223.192/27	206.16.223.192	206.16.223.223	255.255.255.224	32	30	0.0.0.31
206.16.223.224/28	206.16.223.224	206.16.223.239	255.255.255.240	16	14	0.0.0.15
206.16.223.240/29	206.16.223.240	206.16.223.247	255.255.255.248	8	6	0.0.0.7
206.16.223.248/30	206.16.223.248	206.16.223.251	255.255.255.252	4	2	0.0.0.3
206.16.223.252/31	206.16.223.252	206.16.223.253	255.255.255.254	2	2	0.0.0.1
206.16.223.254/32	206.16.223.254	206.16.223.254	255.255.255.255	1	1	0.0.0.0
206.16.223.255/32	206.16.223.255	206.16.223.255	255.255.255.255	1	1	0.0.0.0
134.170.0.0/17	134.170.0.0	134.170.127.255	255.255.128.0	32768	32766	0.0.127.255
134.170.128.0/18	134.170.128.0	134.170.191.255	255.255.192.0	16384	16382	0.0.63.255
134.170.192.0/19	134.170.192.0	134.170.223.255	255.255.224.0	8192	8190	0.0.31.255
134.170.224.0/20	134.170.224.0	134.170.239.255	255.255.240.0	4096	4094	0.0.15.255
134.170.240.0/21	134.170.240.0	134.170.247.255	255.255.248.0	2048	2046	0.0.7.255
134.170.248.0/22	134.170.248.0	134.170.251.255	255.255.252.0	1024	1022	0.0.3.255
134.170.252.0/23	134.170.252.0	134.170.253.255	255.255.254.0	512	510	0.0.1.255
134.170.254.0/24	134.170.254.0	134.170.254.255	255.255.255.0	256	254	0.0.0.255
134.170.255.0/25	134.170.255.0	134.170.255.127	255.255.255.128	128	126	0.0.0.127
134.170.255.128/26	134.170.255.128	134.170.255.191	255.255.255.192	64	62	0.0.0.63
134.170.255.192/27	134.170.255.192	134.170.255.223	255.255.255.224	32	30	0.0.0.31
134.170.255.224/28	134.170.255.224	134.170.255.239	255.255.255.240	16	14	0.0.0.15
134.170.255.240/29	134.170.255.240	134.170.255.247	255.255.255.248	8	6	0.0.0.7
134.170.255.248/30	134.170.255.248	134.170.255.251	255.255.255.252	4	2	0.0.0.3
134.170.255.252/31	134.170.255.252	134.170.255.253	255.255.255.254	2	2	0.0.0.1
134.170.255.254/32	134.170.255.254	134.170.255.254	255.255.255.255	1	1	0.0.0.0
134.170.255.255/32	134.170.255.255	134.170.255.255	255.255.255.255	1	1	0.0.0.0
63.118.235.0/27	63.118.235.0	63.118.235.31	255.255.255.224	32	30	0.0.0.31
63.118.235.32/28	63.118.235.32	63.118.235.47	255.255.255.240	16	14	0.0.0.15
63.118.235.48/29	63.118.235.48	63.118.235.55	255.255.255.248	8	6	0.0.0.7
63.118.235.56/30	63.118.235.56	63.118.235.59	255.255.255.252	4	2	0.0.0.3
63.118.235.60/31	63.118.235.60	63.118.235.61	255.255.255.254	2	2	0.0.0.1
63.118.235.62/32	63.118.235.62	63.118.235.62	255.255.255.255	1	1	0.0.0.0
63.118.235.63/32	63.118.235.63	63.118.235.63	255.255.255.255	1	1	0.0.0.0
20.130.0.0/17	20.130.0.0	20.130.127.255	255.255.128.0	32768	32766	0.0.127.255
20.130.128.0/18	20.130.128.0	20.130.191.255	255.255.192.0	16384	16382	0.0.63.255
20.130.192.0/19	20.130.192.0	20.130.223.255	255.255.224.0	8192	8190	0.0.31.255
20.130.224.0/20	20.130.224.0	20.130.239.255	255.255.240.0	4096	4094	0.0.15.255
20.130.240.0/21	20.130.240.0	20.130.247.255	255.255.248.0	2048	2046	0.0.7.255
20.130.248.0/22	20.130.248.0	20.130.251.255	255.255.252.0	1024	1022	0.0.3.255
20.130.252.0/23	20.130.252.0	20.130.253.255	255.255.254.0	512	510	0.0.1.255
20.130.254.0/24	20.130.254.0	20.130.254.255	255.255.255.0	256	254	0.0.0.255
20.130.255.0/25	20.130.255.0	20.130.255.127	255.255.255.128	128	126	0.0.0.127
20.130.255.128/26	20.130.255.128	20.130.255.191	255.255.255.192	64	62	0.0.0.63
20.130.255.192/27	20.130.255.192	20.130.255.223	255.255.255.224	32	30	0.0.0.31
20.130.255.224/28	20.130.255.224	20.130.255.239	255.255.255.240	16	14	0.0.0.15
20.130.255.240/29	20.130.255.240	20.130.255.247	255.255.255.248	8	6	0.0.0.7
20.130.255.248/30	20.130.255.248	20.130.255.251	255.255.255.252	4	2	0.0.0.3
20.130.255.252/31	20.130.255.252	20.130.255.253	255.255.255.254	2	2	0.0.0.1
20.130.255.254/32	20.130.255.254	20.130.255.254	255.255.255.255	1	1	0.0.0.0
20.130.255.255/32	20.130.255.255	20.130.255.255	255.255.255.255	1	1	0.0.0.0
207.68.128.0/19	207.68.128.0	207.68.159.255	255.255.224.0	8192	8190	0.0.31.255
207.68.160.0/20	207.68.160.0	207.68.175.255	255.255.240.0	4096	4094	0.0.15.255
207.68.176.0/21	207.68.176.0	207.68.183.255	255.255.248.0	2048	2046	0.0.7.255
207.68.184.0/22	207.68.184.0	207.68.187.255	255.255.252.0	1024	1022	0.0.3.255
207.68.188.0/23	207.68.188.0	207.68.189.255	255.255.254.0	512	510	0.0.1.255
207.68.190.0/24	207.68.190.0	207.68.190.255	255.255.255.0	256	254	0.0.0.255
207.68.191.0/25	207.68.191.0	207.68.191.127	255.255.255.128	128	126	0.0.0.127
207.68.191.128/26	207.68.191.128	207.68.191.191	255.255.255.192	64	62	0.0.0.63
207.68.191.192/27	207.68.191.192	207.68.191.223	255.255.255.224	32	30	0.0.0.31
207.68.191.224/28	207.68.191.224	207.68.191.239	255.255.255.240	16	14	0.0.0.15
207.68.191.240/29	207.68.191.240	207.68.191.247	255.255.255.248	8	6	0.0.0.7
207.68.191.248/30	207.68.191.248	207.68.191.251	255.255.255.252	4	2	0.0.0.3
207.68.191.252/31	207.68.191.252	207.68.191.253	255.255.255.254	2	2	0.0.0.1
207.68.191.254/32	207.68.191.254	207.68.191.254	255.255.255.255	1	1	0.0.0.0
207.68.191.255/32	207.68.191.255	207.68.191.255	255.255.255.255	1	1	0.0.0.0
131.253.5.0/24	131.253.5.0	131.253.5.255	255.255.255.0	256	254	0.0.0.255
131.253.6.0/25	131.253.6.0	131.253.6.127	255.255.255.128	128	126	0.0.0.127
131.253.6.128/26	131.253.6.128	131.253.6.191	255.255.255.192	64	62	0.0.0.63
131.253.6.192/27	131.253.6.192	131.253.6.223	255.255.255.224	32	30	0.0.0.31
131.253.6.224/28	131.253.6.224	131.253.6.239	255.255.255.240	16	14	0.0.0.15
131.253.6.240/29	131.253.6.240	131.253.6.247	255.255.255.248	8	6	0.0.0.7
131.253.6.248/30	131.253.6.248	131.253.6.251	255.255.255.252	4	2	0.0.0.3
131.253.6.252/31	131.253.6.252	131.253.6.253	255.255.255.254	2	2	0.0.0.1
131.253.6.254/32	131.253.6.254	131.253.6.254	255.255.255.255	1	1	0.0.0.0
131.253.6.255/32	131.253.6.255	131.253.6.255	255.255.255.255	1	1	0.0.0.0
131.253.21.0/24	131.253.21.0	131.253.21.255	255.255.255.0	256	254	0.0.0.255
131.253.22.0/23	131.253.22.0	131.253.23.255	255.255.254.0	512	510	0.0.1.255
131.253.24.0/21	131.253.24.0	131.253.31.255	255.255.248.0	2048	2046	0.0.7.255
131.253.32.0/21	131.253.32.0	131.253.39.255	255.255.248.0	2048	2046	0.0.7.255
131.253.40.0/22	131.253.40.0	131.253.43.255	255.255.252.0	1024	1022	0.0.3.255
131.253.44.0/23	131.253.44.0	131.253.45.255	255.255.254.0	512	510	0.0.1.255
131.253.46.0/24	131.253.46.0	131.253.46.255	255.255.255.0	256	254	0.0.0.255
131.253.47.0/25	131.253.47.0	131.253.47.127	255.255.255.128	128	126	0.0.0.127
131.253.47.128/26	131.253.47.128	131.253.47.191	255.255.255.192	64	62	0.0.0.63
131.253.47.192/27	131.253.47.192	131.253.47.223	255.255.255.224	32	30	0.0.0.31
131.253.47.224/28	131.253.47.224	131.253.47.239	255.255.255.240	16	14	0.0.0.15
131.253.47.240/29	131.253.47.240	131.253.47.247	255.255.255.248	8	6	0.0.0.7
131.253.47.248/30	131.253.47.248	131.253.47.251	255.255.255.252	4	2	0.0.0.3
131.253.47.252/31	131.253.47.252	131.253.47.253	255.255.255.254	2	2	0.0.0.1
131.253.47.254/32	131.253.47.254	131.253.47.254	255.255.255.255	1	1	0.0.0.0
131.253.47.255/32	131.253.47.255	131.253.47.255	255.255.255.255	1	1	0.0.0.0
40.126.0.0/19	40.126.0.0	40.126.31.255	255.255.224.0	8192	8190	0.0.31.255
40.126.32.0/20	40.126.32.0	40.126.47.255	255.255.240.0	4096	4094	0.0.15.255
40.126.48.0/21	40.126.48.0	40.126.55.255	255.255.248.0	2048	2046	0.0.7.255
40.126.56.0/22	40.126.56.0	40.126.59.255	255.255.252.0	1024	1022	0.0.3.255
40.126.60.0/23	40.126.60.0	40.126.61.255	255.255.254.0	512	510	0.0.1.255
40.126.62.0/24	40.126.62.0	40.126.62.255	255.255.255.0	256	254	0.0.0.255
40.126.63.0/25	40.126.63.0	40.126.63.127	255.255.255.128	128	126	0.0.0.127
40.126.63.128/26	40.126.63.128	40.126.63.191	255.255.255.192	64	62	0.0.0.63
40.126.63.192/27	40.126.63.192	40.126.63.223	255.255.255.224	32	30	0.0.0.31
40.126.63.224/28	40.126.63.224	40.126.63.239	255.255.255.240	16	14	0.0.0.15
40.126.63.240/29	40.126.63.240	40.126.63.247	255.255.255.248	8	6	0.0.0.7
40.126.63.248/30	40.126.63.248	40.126.63.251	255.255.255.252	4	2	0.0.0.3
40.126.63.252/31	40.126.63.252	40.126.63.253	255.255.255.254	2	2	0.0.0.1
40.126.63.254/32	40.126.63.254	40.126.63.254	255.255.255.255	1	1	0.0.0.0
40.126.63.255/32	40.126.63.255	40.126.63.255	255.255.255.255	1	1	0.0.0.0
38.88.252.184/30	38.88.252.184	38.88.252.187	255.255.255.252	4	2	0.0.0.3
38.88.252.188/31	38.88.252.188	38.88.252.189	255.255.255.254	2	2	0.0.0.1
38.88.252.190/32	38.88.252.190	38.88.252.190	255.255.255.255	1	1	0.0.0.0
38.88.252.191/32	38.88.252.191	38.88.252.191	255.255.255.255	1	1	0.0.0.0
4.160.0.0/13	4.160.0.0	4.167.255.255	255.248.0.0	524288	524286	0.7.255.255
4.168.0.0/14	4.168.0.0	4.171.255.255	255.252.0.0	262144	262142	0.3.255.255
4.172.0.0/15	4.172.0.0	4.173.255.255	255.254.0.0	131072	131070	0.1.255.255
4.174.0.0/16	4.174.0.0	4.174.255.255	255.255.0.0	65536	65534	0.0.255.255
4.175.0.0/17	4.175.0.0	4.175.127.255	255.255.128.0	32768	32766	0.0.127.255
4.175.128.0/18	4.175.128.0	4.175.191.255	255.255.192.0	16384	16382	0.0.63.255
4.175.192.0/19	4.175.192.0	4.175.223.255	255.255.224.0	8192	8190	0.0.31.255
4.175.224.0/20	4.175.224.0	4.175.239.255	255.255.240.0	4096	4094	0.0.15.255
4.175.240.0/21	4.175.240.0	4.175.247.255	255.255.248.0	2048	2046	0.0.7.255
4.175.248.0/22	4.175.248.0	4.175.251.255	255.255.252.0	1024	1022	0.0.3.255
4.175.252.0/23	4.175.252.0	4.175.253.255	255.255.254.0	512	510	0.0.1.255
4.175.254.0/24	4.175.254.0	4.175.254.255	255.255.255.0	256	254	0.0.0.255
4.175.255.0/25	4.175.255.0	4.175.255.127	255.255.255.128	128	126	0.0.0.127
4.175.255.128/26	4.175.255.128	4.175.255.191	255.255.255.192	64	62	0.0.0.63
4.175.255.192/27	4.175.255.192	4.175.255.223	255.255.255.224	32	30	0.0.0.31
4.175.255.224/28	4.175.255.224	4.175.255.239	255.255.255.240	16	14	0.0.0.15
4.175.255.240/29	4.175.255.240	4.175.255.247	255.255.255.248	8	6	0.0.0.7
4.175.255.248/30	4.175.255.248	4.175.255.251	255.255.255.252	4	2	0.0.0.3
4.175.255.252/31	4.175.255.252	4.175.255.253	255.255.255.254	2	2	0.0.0.1
4.175.255.254/32	4.175.255.254	4.175.255.254	255.255.255.255	1	1	0.0.0.0
4.175.255.255/32	4.175.255.255	4.175.255.255	255.255.255.255	1	1	0.0.0.0
4.176.0.0/13	4.176.0.0	4.183.255.255	255.248.0.0	524288	524286	0.7.255.255
4.184.0.0/14	4.184.0.0	4.187.255.255	255.252.0.0	262144	262142	0.3.255.255
4.188.0.0/15	4.188.0.0	4.189.255.255	255.254.0.0	131072	131070	0.1.255.255
4.190.0.0/16	4.190.0.0	4.190.255.255	255.255.0.0	65536	65534	0.0.255.255
4.191.0.0/17	4.191.0.0	4.191.127.255	255.255.128.0	32768	32766	0.0.127.255
4.191.128.0/18	4.191.128.0	4.191.191.255	255.255.192.0	16384	16382	0.0.63.255
4.191.192.0/19	4.191.192.0	4.191.223.255	255.255.224.0	8192	8190	0.0.31.255
4.191.224.0/20	4.191.224.0	4.191.239.255	255.255.240.0	4096	4094	0.0.15.255
4.191.240.0/21	4.191.240.0	4.191.247.255	255.255.248.0	2048	2046	0.0.7.255
4.191.248.0/22	4.191.248.0	4.191.251.255	255.255.252.0	1024	1022	0.0.3.255
4.191.252.0/23	4.191.252.0	4.191.253.255	255.255.254.0	512	510	0.0.1.255
4.191.254.0/24	4.191.254.0	4.191.254.255	255.255.255.0	256	254	0.0.0.255
4.191.255.0/25	4.191.255.0	4.191.255.127	255.255.255.128	128	126	0.0.0.127
4.191.255.128/26	4.191.255.128	4.191.255.191	255.255.255.192	64	62	0.0.0.63
4.191.255.192/27	4.191.255.192	4.191.255.223	255.255.255.224	32	30	0.0.0.31
4.191.255.224/28	4.191.255.224	4.191.255.239	255.255.255.240	16	14	0.0.0.15
4.191.255.240/29	4.191.255.240	4.191.255.247	255.255.255.248	8	6	0.0.0.7
4.191.255.248/30	4.191.255.248	4.191.255.251	255.255.255.252	4	2	0.0.0.3
4.191.255.252/31	4.191.255.252	4.191.255.253	255.255.255.254	2	2	0.0.0.1
4.191.255.254/32	4.191.255.254	4.191.255.254	255.255.255.255	1	1	0.0.0.0
4.191.255.255/32	4.191.255.255	4.191.255.255	255.255.255.255	1	1	0.0.0.0
213.199.144.0/21	213.199.144.0	213.199.151.255	255.255.248.0	2048	2046	0.0.7.255
213.199.152.0/22	213.199.152.0	213.199.155.255	255.255.252.0	1024	1022	0.0.3.255
213.199.156.0/23	213.199.156.0	213.199.157.255	255.255.254.0	512	510	0.0.1.255
213.199.158.0/24	213.199.158.0	213.199.158.255	255.255.255.0	256	254	0.0.0.255
213.199.159.0/25	213.199.159.0	213.199.159.127	255.255.255.128	128	126	0.0.0.127
213.199.159.128/26	213.199.159.128	213.199.159.191	255.255.255.192	64	62	0.0.0.63
213.199.159.192/27	213.199.159.192	213.199.159.223	255.255.255.224	32	30	0.0.0.31
213.199.159.224/28	213.199.159.224	213.199.159.239	255.255.255.240	16	14	0.0.0.15
213.199.159.240/29	213.199.159.240	213.199.159.247	255.255.255.248	8	6	0.0.0.7
213.199.159.248/30	213.199.159.248	213.199.159.251	255.255.255.252	4	2	0.0.0.3
213.199.159.252/31	213.199.159.252	213.199.159.253	255.255.255.254	2	2	0.0.0.1
213.199.159.254/32	213.199.159.254	213.199.159.254	255.255.255.255	1	1	0.0.0.0
213.199.159.255/32	213.199.159.255	213.199.159.255	255.255.255.255	1	1	0.0.0.0
132.245.0.0/17	132.245.0.0	132.245.127.255	255.255.128.0	32768	32766	0.0.127.255
132.245.128.0/18	132.245.128.0	132.245.191.255	255.255.192.0	16384	16382	0.0.63.255
132.245.192.0/19	132.245.192.0	132.245.223.255	255.255.224.0	8192	8190	0.0.31.255
132.245.224.0/20	132.245.224.0	132.245.239.255	255.255.240.0	4096	4094	0.0.15.255
132.245.240.0/21	132.245.240.0	132.245.247.255	255.255.248.0	2048	2046	0.0.7.255
132.245.248.0/22	132.245.248.0	132.245.251.255	255.255.252.0	1024	1022	0.0.3.255
132.245.252.0/23	132.245.252.0	132.245.253.255	255.255.254.0	512	510	0.0.1.255
132.245.254.0/24	132.245.254.0	132.245.254.255	255.255.255.0	256	254	0.0.0.255
132.245.255.0/25	132.245.255.0	132.245.255.127	255.255.255.128	128	126	0.0.0.127
132.245.255.128/26	132.245.255.128	132.245.255.191	255.255.255.192	64	62	0.0.0.63
132.245.255.192/27	132.245.255.192	132.245.255.223	255.255.255.224	32	30	0.0.0.31
132.245.255.224/28	132.245.255.224	132.245.255.239	255.255.255.240	16	14	0.0.0.15
132.245.255.240/29	132.245.255.240	132.245.255.247	255.255.255.248	8	6	0.0.0.7
132.245.255.248/30	132.245.255.248	132.245.255.251	255.255.255.252	4	2	0.0.0.3
132.245.255.252/31	132.245.255.252	132.245.255.253	255.255.255.254	2	2	0.0.0.1
132.245.255.254/32	132.245.255.254	132.245.255.254	255.255.255.255	1	1	0.0.0.0
132.245.255.255/32	132.245.255.255	132.245.255.255	255.255.255.255	1	1	0.0.0.0
129.75.0.0/17	129.75.0.0	129.75.127.255	255.255.128.0	32768	32766	0.0.127.255
129.75.128.0/18	129.75.128.0	129.75.191.255	255.255.192.0	16384	16382	0.0.63.255
129.75.192.0/19	129.75.192.0	129.75.223.255	255.255.224.0	8192	8190	0.0.31.255
129.75.224.0/20	129.75.224.0	129.75.239.255	255.255.240.0	4096	4094	0.0.15.255
129.75.240.0/21	129.75.240.0	129.75.247.255	255.255.248.0	2048	2046	0.0.7.255
129.75.248.0/22	129.75.248.0	129.75.251.255	255.255.252.0	1024	1022	0.0.3.255
129.75.252.0/23	129.75.252.0	129.75.253.255	255.255.254.0	512	510	0.0.1.255
129.75.254.0/24	129.75.254.0	129.75.254.255	255.255.255.0	256	254	0.0.0.255
129.75.255.0/25	129.75.255.0	129.75.255.127	255.255.255.128	128	126	0.0.0.127
129.75.255.128/26	129.75.255.128	129.75.255.191	255.255.255.192	64	62	0.0.0.63
129.75.255.192/27	129.75.255.192	129.75.255.223	255.255.255.224	32	30	0.0.0.31
129.75.255.224/28	129.75.255.224	129.75.255.239	255.255.255.240	16	14	0.0.0.15
129.75.255.240/29	129.75.255.240	129.75.255.247	255.255.255.248	8	6	0.0.0.7
129.75.255.248/30	129.75.255.248	129.75.255.251	255.255.255.252	4	2	0.0.0.3
129.75.255.252/31	129.75.255.252	129.75.255.253	255.255.255.254	2	2	0.0.0.1
129.75.255.254/32	129.75.255.254	129.75.255.254	255.255.255.255	1	1	0.0.0.0
129.75.255.255/32	129.75.255.255	129.75.255.255	255.255.255.255	1	1	0.0.0.0
194.110.197.0/25	194.110.197.0	194.110.197.127	255.255.255.128	128	126	0.0.0.127
194.110.197.128/26	194.110.197.128	194.110.197.191	255.255.255.192	64	62	0.0.0.63
194.110.197.192/27	194.110.197.192	194.110.197.223	255.255.255.224	32	30	0.0.0.31
194.110.197.224/28	194.110.197.224	194.110.197.239	255.255.255.240	16	14	0.0.0.15
194.110.197.240/29	194.110.197.240	194.110.197.247	255.255.255.248	8	6	0.0.0.7
194.110.197.248/30	194.110.197.248	194.110.197.251	255.255.255.252	4	2	0.0.0.3
194.110.197.252/31	194.110.197.252	194.110.197.253	255.255.255.254	2	2	0.0.0.1
194.110.197.254/32	194.110.197.254	194.110.197.254	255.255.255.255	1	1	0.0.0.0
194.110.197.255/32	194.110.197.255	194.110.197.255	255.255.255.255	1	1	0.0.0.0
64.77.93.80/29	64.77.93.80	64.77.93.87	255.255.255.248	8	6	0.0.0.7
64.77.93.88/30	64.77.93.88	64.77.93.91	255.255.255.252	4	2	0.0.0.3
64.77.93.92/31	64.77.93.92	64.77.93.93	255.255.255.254	2	2	0.0.0.1
64.77.93.94/32	64.77.93.94	64.77.93.94	255.255.255.255	1	1	0.0.0.0
64.77.93.95/32	64.77.93.95	64.77.93.95	255.255.255.255	1	1	0.0.0.0
131.253.61.0/24	131.253.61.0	131.253.61.255	255.255.255.0	256	254	0.0.0.255
131.253.62.0/23	131.253.62.0	131.253.63.255	255.255.254.0	512	510	0.0.1.255
131.253.64.0/18	131.253.64.0	131.253.127.255	255.255.192.0	16384	16382	0.0.63.255
131.253.128.0/18	131.253.128.0	131.253.191.255	255.255.192.0	16384	16382	0.0.63.255
131.253.192.0/19	131.253.192.0	131.253.223.255	255.255.224.0	8192	8190	0.0.31.255
131.253.224.0/20	131.253.224.0	131.253.239.255	255.255.240.0	4096	4094	0.0.15.255
